Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Kinh tế quốc dân,50,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE),A00; A01; D07; D09,34.9,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,51,EP10,Đầu tư tài chính (BFI),A01; D01; D07; D10,36.25,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,52,EP11,Quản trị khách sạn quốc tế (HME),A01; D01; D09; D10,34.6,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,53,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),A01; D01; D07; D10,36.25,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,54,POHE1,POHE - Quản trị khách sạn,A00; A01; D07; D09,35.35,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,55,POHE2,POHE - Quản trị lữ hành,A00; A01; D07; D09,34.8,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,56,POHE3,POHE - Truyền thông Marketing,A00; A01; D07; D09,38.15,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,57,POHE4,POHE - Luật kinh doanh,A00; A01; D07; D09,35.5,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,58,POHE5,POHE - Quản trị kinh doanh thương mại,A00; A01; D07; D09,36.95,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,59,POHE6,POHE - Quản trị thị trường,A00; A01; D07; D09,35.0,Chương trình Tiếng Anh hệ số 2
Đại Học Kinh tế quốc dân,60,POHE7,POHE - Thẩm định giá,A00; A01; D07; D09,35.0,Chương trình Tiếng Anh hệ số 2
Đại Học Thương mại,1,TM01,Quản trị kinh doanh,A00; A01; D01; D07,26.35,
Đại Học Thương mại,2,TM03,Khởi nghiệp và phát triển kinh doanh,A00; A01; D01; D07,26.1,
Đại Học Thương mại,3,TM04,Marketing thương mại,A00; A01; D01; D07,27.0,
Đại Học Thương mại,4,TM05,Quản trị thương hiệu,A00; A01; D01; D07,26.7,
Đại Học Thương mại,5,TM06,Logistics và quản lý chuỗi cung ứng,A00; A01; D01; D07,27.0,
Đại Học Thương mại,6,TM07,Kế toán doanh nghiệp,A00; A01; D01; D07,26.2,
Đại Học Thương mại,7,TM09,Kế toán công,A00; A01; D01; D07,25.8,
Đại Học Thương mại,8,TM10,Kiểm toán,A00; A01; D01; D07,26.2,
Đại Học Thương mại,9,TM11,Thương mại quốc tế,A00; A01; D01; D07,26.6,
Đại Học Thương mại,10,TM12,Kinh tế quốc tế,A00; A01; D01; D07,26.5,
Đại Học Thương mại,11,TM13,Quản lý kinh tế,A00; A01; D01; D07,26.0,
Đại Học Thương mại,12,TM14,Tài chính - Ngân hàng thương mại,A00; A01; D01; D07,25.9,
Đại Học Thương mại,13,TM16,Tài chính công,A00; A01; D01; D07,25.8,
Đại Học Thương mại,14,TM17,Quản trị thương mại điện tử,A00; A01; D01; D07,27.0,
Đại Học Thương mại,15,TM18,Tiếng Anh thương mại,A01; D01; D07,26.05,
Đại Học Thương mại,16,TM19,Luật kinh tế,A00; A01; D01; D07,25.8,
Đại Học Thương mại,17,TM20,Tiếng Pháp thương mại,A00; A01; D01; D03,25.8,
Đại Học Thương mại,18,TM21,Tiếng Trung thương mại,A00; A01; D01; D04,26.0,
Đại Học Thương mại,19,TM22,Quản trị hệ thống thông tin,A00; A01; D01; D07,26.1,
Đại Học Thương mại,20,TM23,Quản trị nhân lực doanh nghiệp,A00; A01; D01; D07,26.2,
